"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"203 - Eindom House  - Marketing";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 0123 1,5%";"1753";"1/1";"00";"31/01/2023";"125,00";"17/02/2023";"0,00";"0";"17/02/2023";"125,00";"0,00";"0,00";"125,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"203 - Eindom House  - Marketing";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 022023";"1994";"1/1";"00";"07/03/2023";"125,00";"20/03/2023";"0,00";"0";"20/03/2023";"125,00";"0,00";"0,00";"125,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 032023";"2480";"1/1";"00";"31/03/2023";"412,50";"20/04/2023";"0,00";"0";"19/04/2023";"412,50";"0,00";"0,00";"412,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 04.2023";"2927";"1/1";"00";"30/04/2023";"412,50";"19/05/2023";"0,00";"0";"15/05/2023";"412,50";"0,00";"0,00";"412,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 05.2023";"3347";"1/1";"00";"31/05/2023";"412,50";"20/06/2023";"0,00";"0";"20/06/2023";"412,50";"0,00";"0,00";"412,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"202 - Eindom House - Comercial";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 05.2023";"3347";"1/1";"00";"31/05/2023";"315,00";"20/06/2023";"0,00";"0";"20/06/2023";"315,00";"0,00";"0,00";"315,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 06.2023";"3685";"1/1";"00";"30/06/2023";"412,50";"20/07/2023";"0,00";"0";"20/07/2023";"412,50";"0,00";"0,00";"412,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"202 - Eindom House - Comercial";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 06.2023";"3685";"1/1";"00";"30/06/2023";"315,00";"20/07/2023";"0,00";"0";"20/07/2023";"315,00";"0,00";"0,00";"315,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"202 - Eindom House - Comercial";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 1,5% 1708 0723";"4228";"1/1";"00";"31/07/2023";"315,00";"18/08/2023";"0,00";"0";"15/08/2023";"315,00";"0,00";"0,00";"315,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 1,5% 1708 0723";"4228";"1/1";"00";"31/07/2023";"642,50";"18/08/2023";"0,00";"0";"15/08/2023";"642,50";"0,00";"0,00";"642,50";"";"";"";"";"";"";
